date,channel,purchases,sessions,add_to_cart,checkout
2023-01-26,Mobile App,9,195,47,24
2023-01-26,Retail Store,2,54,9,5
2023-01-26,Web,22,417,93,53
2023-01-27,Marketplace,9,234,43,26
2023-01-27,Mobile App,15,312,70,43
2023-01-27,Retail Store,3,54,13,6
2023-01-27,Web,7,181,50,28
2023-01-28,Marketplace,8,151,40,19
2023-01-28,Mobile App,8,176,38,22
2023-01-28,Retail Store,4,108,19,9
2023-01-28,Web,13,333,87,43
2023-01-29,Marketplace,7,159,32,16
2023-01-29,Mobile App,11,237,56,36
2023-01-29,Retail Store,2,40,8,4
2023-01-29,Web,11,202,46,23
2023-01-30,Marketplace,3,65,13,7
2023-01-30,Mobile App,8,183,48,28
2023-01-30,Retail Store,1,20,5,2
2023-01-30,Web,19,400,111,58
2023-01-31,Marketplace,7,168,40,20
2023-01-31,Mobile App,7,157,29,15
2023-01-31,Retail Store,3,82,16,7
2023-01-31,Web,18,341,74,37
2023-02-01,Marketplace,9,209,52,28
2023-02-01,Mobile App,9,204,39,19
2023-02-01,Retail Store,1,25,5,3
2023-02-01,Web,12,326,69,32
2023-02-02,Marketplace,7,149,41,24
2023-02-02,Mobile App,8,208,50,29
2023-02-02,Retail Store,3,80,16,10
2023-02-02,Web,19,447,92,49
2023-02-03,Marketplace,7,180,49,24
2023-02-03,Mobile App,4,75,18,10
2023-02-03,Retail Store,1,26,6,3
2023-02-03,Web,7,193,37,16
2023-02-04,Marketplace,7,184,37,19
2023-02-04,Mobile App,8,153,28,12
2023-02-04,Retail Store,2,36,7,3
2023-02-04,Web,12,257,47,27
2023-02-05,Marketplace,2,41,11,6
2023-02-05,Mobile App,9,213,39,23
2023-02-05,Retail Store,2,36,7,4
2023-02-05,Web,16,373,82,37
2023-02-06,Marketplace,10,270,63,37
2023-02-06,Mobile App,11,254,47,23
2023-02-06,Web,10,184,40,24
2023-02-07,Marketplace,4,91,21,12
2023-02-07,Mobile App,6,148,30,14
2023-02-07,Retail Store,3,63,17,10
2023-02-07,Web,17,462,109,50
2023-02-08,Marketplace,8,220,45,28
2023-02-08,Mobile App,9,225,49,29
2023-02-08,Web,14,329,92,50
2023-02-09,Marketplace,9,196,50,29
2023-02-09,Mobile App,15,343,70,42
2023-02-09,Retail Store,1,21,5,2
2023-02-09,Web,15,357,82,37
2023-02-10,Marketplace,10,201,40,23
2023-02-10,Mobile App,13,249,47,30
2023-02-10,Retail Store,1,27,6,2
2023-02-10,Web,14,288,77,40
2023-02-11,Marketplace,11,262,49,24
2023-02-11,Mobile App,5,125,24,12
2023-02-11,Retail Store,3,71,15,8
2023-02-11,Web,11,276,59,35
2023-02-12,Marketplace,6,123,33,17
2023-02-12,Mobile App,8,215,42,22
2023-02-12,Retail Store,2,43,8,4
2023-02-12,Web,16,378,100,64
2023-02-13,Marketplace,9,177,44,25
2023-02-13,Mobile App,8,176,35,18
2023-02-13,Retail Store,1,24,4,2
2023-02-13,Web,21,503,105,67
2023-02-14,Marketplace,9,201,41,19
2023-02-14,Mobile App,10,193,43,26
2023-02-14,Web,15,300,83,52
2023-02-15,Marketplace,8,219,50,31
2023-02-15,Mobile App,10,259,68,42
2023-02-15,Web,14,311,61,38
2023-02-16,Marketplace,6,162,36,17
2023-02-16,Mobile App,9,179,35,18
2023-02-16,Retail Store,1,18,4,2
2023-02-16,Web,17,475,114,55
2023-02-17,Marketplace,9,209,38,19
2023-02-17,Mobile App,9,247,65,32
2023-02-17,Retail Store,2,46,10,5
2023-02-17,Web,12,274,71,41
2023-02-18,Marketplace,8,201,41,26
2023-02-18,Mobile App,9,205,38,18
2023-02-18,Retail Store,2,45,8,3
2023-02-18,Web,20,469,92,48
2023-02-19,Marketplace,4,80,21,9
2023-02-19,Mobile App,5,111,21,10
2023-02-19,Retail Store,2,50,11,5
2023-02-19,Web,21,477,105,55
2023-02-20,Marketplace,14,343,93,43
2023-02-20,Mobile App,11,305,66,32
2023-02-20,Retail Store,1,24,4,2
2023-02-20,Web,10,229,59,37
2023-02-21,Marketplace,7,189,37,21
2023-02-21,Mobile App,11,286,58,27
2023-02-21,Retail Store,1,22,5,2
2023-02-21,Web,20,500,95,54
2023-02-22,Marketplace,5,115,22,14
2023-02-22,Mobile App,9,217,56,35
2023-02-22,Web,14,340,73,46
2023-02-23,Marketplace,3,69,12,7
2023-02-23,Mobile App,12,267,73,37
2023-02-23,Retail Store,2,42,11,5
2023-02-23,Web,11,230,57,31
2023-02-24,Marketplace,9,244,57,32
2023-02-24,Mobile App,16,342,63,38
2023-02-24,Web,11,257,54,27
2023-02-25,Marketplace,15,271,54,33
2023-02-25,Mobile App,13,341,64,39
2023-02-25,Retail Store,1,27,6,3
2023-02-25,Web,10,211,58,27
2023-02-26,Marketplace,4,101,21,12
2023-02-26,Mobile App,8,209,44,28
2023-02-26,Retail Store,2,52,12,7
2023-02-26,Web,20,518,101,50
2023-02-27,Marketplace,5,109,27,14
2023-02-27,Mobile App,11,222,52,24
2023-02-27,Retail Store,1,23,6,3
2023-02-27,Web,10,266,66,40
2023-02-28,Marketplace,5,115,26,15
2023-02-28,Mobile App,7,191,34,16
2023-02-28,Retail Store,2,38,9,5
2023-02-28,Web,17,356,82,47
2023-03-01,Marketplace,2,53,9,5
2023-03-01,Mobile App,10,277,57,27
2023-03-01,Retail Store,1,24,5,2
2023-03-01,Web,21,492,123,55
2023-03-02,Marketplace,8,183,46,26
2023-03-02,Mobile App,9,170,45,29
2023-03-02,Retail Store,1,25,4,2
2023-03-02,Web,17,319,75,40
2023-03-03,Marketplace,4,83,21,9
2023-03-03,Mobile App,7,128,33,15
2023-03-03,Retail Store,2,55,13,6
2023-03-03,Web,11,255,70,31
2023-03-04,Marketplace,2,50,13,6
2023-03-04,Mobile App,13,283,60,36
2023-03-04,Retail Store,1,22,5,2
2023-03-04,Web,5,138,27,16
2023-03-05,Marketplace,8,209,50,28
2023-03-05,Mobile App,6,117,23,11
2023-03-05,Retail Store,2,39,8,4
2023-03-05,Web,20,509,120,65
2023-03-06,Marketplace,5,91,25,13
2023-03-06,Mobile App,12,260,50,23
2023-03-06,Retail Store,2,51,11,5
2023-03-06,Web,21,392,103,62
2023-03-07,Marketplace,7,151,40,25
2023-03-07,Mobile App,12,328,65,34
2023-03-07,Retail Store,1,19,3,1
2023-03-07,Web,21,426,77,47
2023-03-08,Marketplace,8,154,41,19
2023-03-08,Mobile App,7,135,29,14
2023-03-08,Web,12,238,61,36
2023-03-09,Marketplace,7,191,35,15
2023-03-09,Mobile App,9,224,43,24
2023-03-09,Retail Store,2,52,10,5
2023-03-09,Web,16,291,76,37
2023-03-10,Marketplace,7,136,24,13
2023-03-10,Mobile App,4,106,26,16
2023-03-10,Web,12,240,52,28
2023-03-11,Marketplace,10,188,47,30
2023-03-11,Mobile App,11,233,62,39
2023-03-11,Web,12,258,68,33
2023-03-12,Marketplace,6,144,31,16
2023-03-12,Mobile App,7,156,33,17
2023-03-12,Retail Store,3,61,12,5
2023-03-12,Web,16,364,86,41
2023-03-13,Marketplace,4,90,18,10
2023-03-13,Mobile App,11,235,64,37
2023-03-13,Web,12,303,80,45
2023-03-14,Marketplace,5,107,21,11
2023-03-14,Mobile App,13,289,54,33
2023-03-14,Web,11,227,60,37
2023-03-15,Marketplace,13,294,58,33
2023-03-15,Mobile App,11,234,57,28
2023-03-15,Retail Store,1,22,4,2
2023-03-15,Web,13,282,63,37
2023-03-16,Marketplace,6,141,33,15
2023-03-16,Mobile App,13,348,92,41
2023-03-16,Retail Store,2,51,12,7
2023-03-16,Web,14,345,63,39
2023-03-17,Marketplace,5,123,26,12
2023-03-17,Mobile App,8,175,39,18
2023-03-17,Retail Store,2,55,10,5
2023-03-17,Web,14,297,66,42
2023-03-18,Marketplace,4,75,18,11
2023-03-18,Mobile App,3,78,14,6
2023-03-18,Retail Store,2,50,10,4
2023-03-18,Web,18,337,83,47
2023-03-19,Marketplace,10,234,45,23
2023-03-19,Mobile App,10,182,36,17
2023-03-19,Retail Store,2,52,11,5
2023-03-19,Web,13,252,51,24
2023-03-20,Marketplace,10,202,39,18
2023-03-20,Mobile App,7,174,37,22
2023-03-20,Retail Store,1,25,6,3
2023-03-20,Web,17,360,87,41
2023-03-21,Marketplace,8,193,41,23
2023-03-21,Mobile App,15,274,60,35
2023-03-21,Retail Store,2,55,10,4
2023-03-21,Web,13,268,66,37
2023-03-22,Marketplace,8,209,55,24
2023-03-22,Mobile App,8,165,46,24
2023-03-22,Retail Store,2,39,7,4
2023-03-22,Web,15,293,77,47
2023-03-23,Marketplace,6,167,44,25
2023-03-23,Mobile App,12,235,56,35
2023-03-23,Retail Store,1,23,5,2
2023-03-23,Web,31,725,137,72
2023-03-24,Marketplace,10,236,46,23
2023-03-24,Mobile App,13,307,82,46
2023-03-24,Retail Store,3,77,17,7
2023-03-24,Web,21,391,92,50
2023-03-25,Marketplace,6,140,29,14
2023-03-25,Mobile App,14,314,71,35
2023-03-25,Retail Store,3,58,16,8
2023-03-25,Web,6,164,35,16
2023-03-26,Marketplace,9,178,35,18
2023-03-26,Mobile App,10,242,45,25
2023-03-26,Retail Store,5,109,28,16
2023-03-26,Web,10,254,56,29
2023-03-27,Marketplace,7,189,35,18
2023-03-27,Mobile App,11,211,39,24
2023-03-27,Retail Store,1,26,5,2
2023-03-27,Web,18,386,99,61
2023-03-28,Marketplace,8,154,31,16
2023-03-28,Mobile App,16,382,77,39
2023-03-28,Web,14,376,82,49
2023-03-29,Marketplace,3,70,17,10
2023-03-29,Mobile App,9,221,51,32
2023-03-29,Retail Store,1,21,5,2
2023-03-29,Web,13,234,59,35
2023-03-30,Marketplace,8,148,35,20
2023-03-30,Mobile App,10,240,45,22
2023-03-30,Retail Store,1,26,6,3
2023-03-30,Web,14,385,81,36
2023-03-31,Marketplace,6,140,26,12
2023-03-31,Mobile App,9,168,30,19
2023-03-31,Retail Store,2,37,7,4
2023-03-31,Web,9,198,52,23
2023-04-01,Marketplace,2,47,9,5
2023-04-01,Mobile App,13,266,59,28
2023-04-01,Retail Store,4,89,16,8
2023-04-01,Web,14,377,68,35
2023-04-02,Marketplace,2,51,10,6
2023-04-02,Mobile App,11,302,60,33
2023-04-02,Retail Store,1,25,6,3
2023-04-02,Web,18,329,82,48
2023-04-03,Marketplace,8,175,40,25
2023-04-03,Mobile App,8,178,33,18
2023-04-03,Retail Store,3,66,17,9
2023-04-03,Web,24,484,117,75
2023-04-04,Marketplace,10,236,53,26
2023-04-04,Mobile App,12,228,45,29
2023-04-04,Retail Store,1,25,4,2
2023-04-04,Web,20,407,101,50
2023-04-05,Marketplace,4,78,15,7
2023-04-05,Mobile App,6,133,24,14
2023-04-05,Retail Store,2,37,10,5
2023-04-05,Web,17,410,90,48
2023-04-06,Marketplace,9,222,60,27
2023-04-06,Mobile App,7,144,36,23
2023-04-06,Retail Store,2,36,9,5
2023-04-06,Web,16,326,63,35
2023-04-07,Marketplace,4,99,23,12
2023-04-07,Mobile App,4,79,18,9
2023-04-07,Retail Store,3,55,10,5
2023-04-07,Web,12,310,55,27
2023-04-08,Marketplace,4,87,19,11
2023-04-08,Mobile App,8,197,51,31
2023-04-08,Web,10,268,74,36
2023-04-09,Marketplace,6,131,34,17
2023-04-09,Mobile App,15,330,78,40
2023-04-09,Retail Store,2,54,15,9
2023-04-09,Web,21,507,129,75
2023-04-10,Marketplace,10,190,37,20
2023-04-10,Mobile App,6,148,41,21
2023-04-10,Retail Store,3,58,15,7
2023-04-10,Web,13,275,74,44
2023-04-11,Marketplace,8,161,40,23
2023-04-11,Mobile App,10,261,68,34
2023-04-11,Retail Store,1,24,6,3
2023-04-11,Web,12,301,56,31
2023-04-12,Marketplace,5,95,26,16
2023-04-12,Mobile App,6,148,35,22
2023-04-12,Retail Store,5,105,25,14
2023-04-12,Web,24,624,125,78
2023-04-13,Marketplace,10,205,45,24
2023-04-13,Mobile App,4,111,29,17
2023-04-13,Web,14,302,63,38
2023-04-14,Marketplace,4,81,17,10
2023-04-14,Mobile App,11,233,54,25
2023-04-14,Retail Store,3,81,16,9
2023-04-14,Web,14,389,93,42
2023-04-15,Marketplace,6,152,42,21
2023-04-15,Mobile App,9,239,54,26
2023-04-15,Retail Store,1,18,4,2
2023-04-15,Web,14,358,94,53
2023-04-16,Marketplace,8,167,38,19
2023-04-16,Mobile App,6,119,28,15
2023-04-16,Retail Store,2,42,8,4
2023-04-16,Web,15,363,81,38
2023-04-17,Marketplace,7,148,35,21
2023-04-17,Mobile App,11,296,60,33
2023-04-17,Retail Store,4,84,22,10
2023-04-17,Web,15,383,97,58
2023-04-18,Marketplace,4,111,29,17
2023-04-18,Mobile App,11,294,56,29
2023-04-18,Retail Store,2,47,10,5
2023-04-18,Web,8,217,45,25
2023-04-19,Marketplace,8,207,40,18
2023-04-19,Mobile App,8,150,41,20
2023-04-19,Retail Store,1,27,5,2
2023-04-19,Web,16,288,63,34
2023-04-20,Marketplace,8,146,38,17
2023-04-20,Mobile App,12,304,84,39
2023-04-20,Retail Store,2,49,9,4
2023-04-20,Web,5,137,29,14
2023-04-21,Marketplace,8,168,32,14
2023-04-21,Mobile App,8,201,55,31
2023-04-21,Retail Store,4,77,19,11
2023-04-21,Web,13,266,47,28
2023-04-22,Marketplace,3,61,13,6
2023-04-22,Mobile App,11,300,56,26
2023-04-22,Retail Store,3,77,19,9
2023-04-22,Web,15,399,73,44
2023-04-23,Marketplace,5,109,21,11
2023-04-23,Mobile App,13,329,62,33
2023-04-23,Retail Store,2,55,12,7
2023-04-23,Web,19,415,104,58
2023-04-24,Marketplace,14,268,57,27
2023-04-24,Mobile App,7,193,37,23
2023-04-24,Retail Store,3,70,13,6
2023-04-24,Web,10,249,48,23
2023-04-25,Marketplace,13,269,54,33
2023-04-25,Mobile App,13,338,64,38
2023-04-25,Retail Store,2,54,14,7
2023-04-25,Web,24,579,111,65
2023-04-26,Marketplace,8,208,58,33
2023-04-26,Mobile App,7,179,42,19
2023-04-26,Retail Store,3,82,19,10
2023-04-26,Web,22,408,85,45
2023-04-27,Marketplace,6,115,24,13
2023-04-27,Mobile App,13,298,80,46
2023-04-27,Web,20,509,95,45
2023-04-28,Marketplace,5,104,25,13
2023-04-28,Mobile App,10,255,52,24
2023-04-28,Retail Store,3,55,15,8
2023-04-28,Web,25,520,142,78
2023-04-29,Marketplace,6,154,29,14
2023-04-29,Mobile App,15,349,72,39
2023-04-29,Retail Store,3,67,17,10
2023-04-29,Web,14,323,72,37
2023-04-30,Marketplace,11,242,62,31
2023-04-30,Mobile App,8,152,34,19
2023-04-30,Retail Store,3,61,14,6
2023-04-30,Web,18,410,89,50
2023-05-01,Marketplace,6,153,37,16
2023-05-01,Mobile App,16,316,65,38
2023-05-01,Retail Store,1,18,4,2
2023-05-01,Web,20,524,113,56
2023-05-02,Marketplace,2,45,11,6
2023-05-02,Mobile App,8,184,44,20
2023-05-02,Retail Store,2,55,10,4
2023-05-02,Web,27,510,107,57
2023-05-03,Mobile App,9,205,49,23
2023-05-03,Retail Store,1,21,5,3
2023-05-03,Web,13,344,92,59
2023-05-04,Marketplace,4,78,17,10
2023-05-04,Mobile App,7,192,37,22
2023-05-04,Retail Store,1,27,6,3
2023-05-04,Web,14,302,80,41
2023-05-05,Marketplace,6,113,23,14
2023-05-05,Mobile App,15,394,100,46
2023-05-05,Retail Store,2,39,9,5
2023-05-05,Web,18,474,121,65
2023-05-06,Marketplace,9,246,47,24
2023-05-06,Mobile App,12,275,68,42
2023-05-06,Retail Store,5,95,22,10
2023-05-06,Web,11,260,69,31
2023-05-07,Marketplace,7,155,30,17
2023-05-07,Mobile App,14,327,88,55
2023-05-07,Retail Store,2,46,12,7
2023-05-07,Web,16,402,83,50
2023-05-08,Marketplace,9,182,49,27
2023-05-08,Mobile App,6,159,42,23
2023-05-08,Retail Store,5,103,28,16
2023-05-08,Web,22,605,115,72
2023-05-09,Marketplace,7,162,35,16
2023-05-09,Mobile App,7,168,42,20
2023-05-09,Web,9,188,34,19
2023-05-10,Marketplace,5,115,26,16
2023-05-10,Mobile App,9,246,51,31
2023-05-10,Retail Store,5,98,22,13
2023-05-10,Web,14,323,86,44
2023-05-11,Marketplace,5,121,23,12
2023-05-11,Mobile App,8,179,35,19
2023-05-11,Retail Store,1,19,4,2
2023-05-11,Web,19,426,76,40
2023-05-12,Marketplace,9,229,41,23
2023-05-12,Mobile App,6,141,37,23
2023-05-12,Web,18,495,130,69
2023-05-13,Marketplace,7,195,51,23
2023-05-13,Mobile App,8,178,36,18
2023-05-13,Retail Store,2,51,13,7
2023-05-13,Web,15,396,109,68
2023-05-14,Marketplace,4,107,23,11
2023-05-14,Mobile App,12,228,50,22
2023-05-14,Retail Store,2,45,9,5
2023-05-14,Web,14,270,63,40
2023-05-15,Marketplace,6,137,34,21
2023-05-15,Mobile App,10,266,70,45
2023-05-15,Retail Store,1,22,5,3
2023-05-15,Web,11,277,50,30
2023-05-16,Marketplace,7,129,30,15
2023-05-16,Mobile App,10,181,48,30
2023-05-16,Retail Store,3,60,12,7
2023-05-16,Web,19,405,75,36
2023-05-17,Marketplace,9,231,44,27
2023-05-17,Mobile App,5,111,24,11
2023-05-17,Web,20,492,117,67
2023-05-18,Marketplace,4,76,18,8
2023-05-18,Mobile App,12,270,50,29
2023-05-18,Retail Store,2,36,8,5
2023-05-18,Web,7,148,36,19
2023-05-19,Marketplace,12,216,41,20
2023-05-19,Mobile App,18,331,64,36
2023-05-19,Retail Store,3,61,11,6
2023-05-19,Web,12,305,57,34
2023-05-20,Marketplace,5,111,25,12
2023-05-20,Mobile App,5,133,35,17
2023-05-20,Retail Store,3,56,15,9
2023-05-20,Web,13,329,70,37
2023-05-21,Marketplace,6,132,31,18
2023-05-21,Mobile App,8,178,35,20
2023-05-21,Retail Store,2,45,12,6
2023-05-21,Web,13,290,64,35
2023-05-22,Marketplace,5,130,33,15
2023-05-22,Mobile App,4,84,15,9
2023-05-22,Retail Store,2,41,7,3
2023-05-22,Web,14,357,96,55
2023-05-23,Marketplace,8,189,38,23
2023-05-23,Mobile App,13,318,84,39
2023-05-23,Retail Store,3,57,13,6
2023-05-23,Web,11,240,66,36
2023-05-24,Marketplace,13,349,89,44
2023-05-24,Mobile App,9,218,49,24
2023-05-24,Retail Store,1,22,4,1
2023-05-24,Web,11,292,65,37
2023-05-25,Marketplace,5,120,23,13
2023-05-25,Mobile App,15,414,91,56
2023-05-25,Retail Store,1,23,4,2
2023-05-25,Web,11,212,42,24
2023-05-26,Marketplace,8,178,33,17
2023-05-26,Mobile App,13,314,85,44
2023-05-26,Retail Store,4,111,25,15
2023-05-26,Web,6,125,23,14
2023-05-27,Marketplace,8,170,44,20
2023-05-27,Mobile App,14,357,98,56
2023-05-27,Retail Store,1,24,4,2
2023-05-27,Web,24,575,155,77
2023-05-28,Marketplace,10,211,56,32
2023-05-28,Mobile App,11,219,42,19
2023-05-28,Retail Store,1,18,3,1
2023-05-28,Web,20,445,82,52
2023-05-29,Marketplace,9,180,48,24
2023-05-29,Mobile App,12,309,77,44
2023-05-29,Web,8,161,41,19
2023-05-30,Marketplace,6,120,29,13
2023-05-30,Mobile App,3,73,20,9
2023-05-30,Retail Store,5,121,28,12
2023-05-30,Web,19,352,77,34
2023-05-31,Marketplace,8,210,52,24
2023-05-31,Mobile App,11,215,46,20
2023-05-31,Retail Store,2,38,7,3
2023-05-31,Web,14,300,70,42
2023-06-01,Marketplace,6,117,23,13
2023-06-01,Mobile App,10,244,65,31
2023-06-01,Retail Store,2,40,10,4
2023-06-01,Web,10,180,38,21
2023-06-02,Marketplace,6,152,38,22
2023-06-02,Mobile App,9,237,49,23
2023-06-02,Retail Store,3,78,18,10
2023-06-02,Web,11,202,38,17
2023-06-03,Marketplace,4,83,21,10
2023-06-03,Mobile App,8,221,55,26
2023-06-03,Retail Store,1,25,5,2
2023-06-03,Web,16,424,99,59
2023-06-04,Marketplace,7,147,30,16
2023-06-04,Mobile App,8,146,38,23
2023-06-04,Retail Store,2,36,9,5
2023-06-04,Web,13,346,64,36
2023-06-05,Marketplace,6,143,31,18
2023-06-05,Mobile App,8,209,57,25
2023-06-05,Retail Store,2,51,12,7
2023-06-05,Web,15,352,84,42
2023-06-06,Marketplace,4,100,24,14
2023-06-06,Mobile App,4,108,25,14
2023-06-06,Retail Store,3,80,15,7
2023-06-06,Web,7,128,30,18
2023-06-07,Marketplace,3,74,14,8
2023-06-07,Mobile App,11,306,57,31
2023-06-07,Retail Store,3,75,15,9
2023-06-07,Web,13,337,81,40
2023-06-08,Marketplace,7,135,28,15
2023-06-08,Mobile App,9,239,46,22
2023-06-08,Retail Store,5,103,23,13
2023-06-08,Web,12,263,51,32
2023-06-09,Marketplace,5,121,28,12
2023-06-09,Mobile App,5,102,18,9
2023-06-09,Retail Store,1,23,4,2
2023-06-09,Web,15,414,104,62
2023-06-10,Marketplace,6,139,27,16
2023-06-10,Mobile App,11,241,53,32
2023-06-10,Retail Store,1,27,6,3
2023-06-10,Web,13,325,83,51
2023-06-11,Marketplace,9,226,43,23
2023-06-11,Mobile App,10,205,44,24
2023-06-11,Retail Store,2,44,9,4
2023-06-11,Web,15,297,78,37
2023-06-12,Marketplace,9,203,37,23
2023-06-12,Mobile App,13,239,46,22
2023-06-12,Web,14,304,64,31
2023-06-13,Marketplace,6,138,25,12
2023-06-13,Mobile App,8,148,27,15
2023-06-13,Retail Store,2,41,9,4
2023-06-13,Web,14,321,79,46
2023-06-14,Marketplace,3,56,11,6
2023-06-14,Mobile App,9,220,45,24
2023-06-14,Retail Store,2,38,9,4
2023-06-14,Web,13,326,86,40
2023-06-15,Marketplace,5,90,20,9
2023-06-15,Mobile App,10,203,38,23
2023-06-15,Retail Store,1,21,4,2
2023-06-15,Web,12,225,49,29
2023-06-16,Marketplace,4,77,14,8
2023-06-16,Mobile App,9,193,48,25
2023-06-16,Retail Store,1,22,6,3
2023-06-16,Web,10,233,53,28
2023-06-17,Marketplace,6,162,39,17
2023-06-17,Mobile App,6,141,33,16
2023-06-17,Retail Store,1,24,4,2
2023-06-17,Web,13,333,81,36
2023-06-18,Marketplace,3,72,14,7
2023-06-18,Mobile App,7,184,48,26
2023-06-18,Retail Store,3,75,15,7
2023-06-18,Web,19,511,116,66
2023-06-19,Marketplace,3,76,16,8
2023-06-19,Mobile App,16,288,52,33
2023-06-19,Web,12,237,52,33
2023-06-20,Marketplace,6,158,43,23
2023-06-20,Mobile App,14,371,101,47
2023-06-20,Retail Store,1,22,4,2
2023-06-20,Web,15,305,56,32
2023-06-21,Marketplace,4,79,15,7
2023-06-21,Mobile App,7,190,41,25
2023-06-21,Web,14,342,80,42
2023-06-22,Marketplace,6,155,40,20
2023-06-22,Mobile App,5,125,31,17
2023-06-22,Retail Store,2,37,7,4
2023-06-22,Web,12,233,61,30
2023-06-23,Marketplace,9,239,64,38
2023-06-23,Mobile App,9,217,45,22
2023-06-23,Retail Store,1,18,4,2
2023-06-23,Web,12,287,74,39
2023-06-24,Marketplace,3,58,11,6
2023-06-24,Mobile App,6,166,39,18
2023-06-24,Retail Store,3,73,19,10
2023-06-24,Web,10,212,41,19
2023-06-25,Marketplace,8,169,37,18
2023-06-25,Mobile App,11,296,78,48
2023-06-25,Retail Store,1,24,4,2
2023-06-25,Web,16,384,105,61
2023-06-26,Marketplace,6,132,36,21
2023-06-26,Mobile App,11,259,56,33
2023-06-26,Retail Store,2,54,11,5
2023-06-26,Web,9,242,66,33
2023-06-27,Marketplace,10,199,52,25
2023-06-27,Mobile App,3,67,14,8
2023-06-27,Retail Store,1,22,4,2
2023-06-27,Web,17,426,83,45
2023-06-28,Marketplace,7,127,28,17
2023-06-28,Mobile App,10,207,38,17
2023-06-28,Retail Store,1,21,4,1
2023-06-28,Web,16,298,59,28
2023-06-29,Marketplace,7,168,36,18
2023-06-29,Mobile App,5,107,21,11
2023-06-29,Retail Store,2,55,10,4
2023-06-29,Web,13,297,76,42
2023-06-30,Marketplace,5,111,26,14
