order_id,order_date,customer_id,channel,status
O100046,2024-11-14,C5048,Marketplace,Returned
O100047,2024-11-10,C5458,Marketplace,Completed
O100048,2023-10-26,C2983,Web,Completed
O100049,2024-11-06,C3834,Web,Completed
O100050,2024-05-24,C1463,Marketplace,Completed
O100051,2024-03-18,C5095,Mobile App,Completed
O100052,2023-12-12,C1854,Web,Completed
O100053,2024-01-06,C4124,Web,Completed
O100054,2023-07-16,C5345,Web,Completed
O100055,2023-12-30,C4945,Web,Completed
O100056,2023-09-05,C5085,Web,Completed
O100057,2024-06-28,C4090,Retail Store,Completed
O100058,2023-05-08,C5758,Mobile App,Completed
O100059,2024-11-17,C4464,Marketplace,Completed
O100060,2024-04-25,C4272,Web,Completed
O100061,2023-09-13,C1187,Retail Store,Completed
O100062,2024-01-23,C4198,Web,Completed
O100063,2023-02-04,C1481,Web,Completed
O100064,2023-11-04,C2948,Mobile App,Completed
O100065,2024-07-24,C3067,Mobile App,Completed
O100066,2023-09-14,C3034,Web,Completed
O100067,2023-10-08,C4946,Web,Cancelled
O100068,2024-12-23,C4461,Web,Returned
O100069,2024-12-21,C1318,Web,Completed
O100070,2023-12-05,C2888,Web,Completed
O100071,2023-02-02,C1068,Mobile App,Completed
O100072,2024-05-10,C5080,Web,Completed
O100073,2024-06-05,C2090,Mobile App,Completed
O100074,2024-10-29,C3121,Mobile App,Completed
O100075,2024-11-23,C5301,Web,Completed
O100076,2024-04-04,C4742,Web,Completed
O100077,2023-11-15,C5435,Mobile App,Completed
O100078,2023-10-21,C2714,Mobile App,Completed
O100079,2024-06-01,C2471,Web,Completed
O100080,2023-11-05,C3461,Web,Completed
O100081,2023-04-23,C4409,Mobile App,Completed
O100082,2024-12-15,C5439,Mobile App,Completed
O100083,2023-02-20,C4517,Mobile App,Completed
O100084,2023-12-09,C5475,Mobile App,Completed
O100085,2024-12-20,C1004,Web,Completed
O100086,2023-05-11,C5359,Mobile App,Completed
O100087,2023-03-10,C2870,Marketplace,Completed
O100088,2023-08-06,C1765,Web,Completed
O100089,2023-10-20,C1750,Marketplace,Completed
O100090,2024-04-09,C2945,Web,Completed
O100091,2023-08-29,C2730,Web,Completed
O100092,2023-10-30,C1361,Mobile App,Completed
O100093,2023-11-03,C2326,Web,Completed
O100094,2023-12-10,C3465,Retail Store,Completed
O100095,2024-01-04,C1381,Web,Completed
O100096,2023-01-11,C2416,Mobile App,Completed
O100097,2024-04-12,C5930,Web,Completed
O100098,2024-09-28,C5650,Web,Completed
O100099,2023-09-25,C3505,Mobile App,Completed
O100100,2024-09-26,C3280,Web,Completed
O100101,2024-04-06,C1725,Mobile App,Completed
O100102,2024-06-29,C5618,Retail Store,Completed
O100103,2024-07-24,C2171,Web,Completed
O100104,2024-11-29,C1841,Mobile App,Completed
O100105,2024-09-17,C1183,Mobile App,Completed
O100106,2023-11-05,C5462,Marketplace,Completed
O100107,2024-02-15,C2500,Web,Returned
O100108,2024-04-18,C3103,Mobile App,Completed
O100109,2024-09-17,C1322,Mobile App,Returned
O100110,2023-10-14,C2445,Mobile App,Completed
O100111,2024-11-27,C2237,Mobile App,Completed
O100112,2023-04-19,C5973,Marketplace,Completed
O100113,2024-11-02,C3176,Mobile App,Completed
O100114,2024-07-30,C2090,Web,Returned
O100115,2024-11-09,C4358,Mobile App,Completed
O100116,2024-02-24,C2188,Mobile App,Completed
O100117,2024-04-05,C5162,Web,Completed
O100118,2024-09-11,C5638,Web,Completed
O100119,2024-01-30,C1275,Web,Returned
O100120,2024-05-14,C3377,Web,Completed
O100121,2024-11-02,C2233,Marketplace,Completed
O100122,2024-12-05,C5265,Marketplace,Completed
O100123,2024-07-04,C1678,Mobile App,Completed
O100124,2024-05-27,C3050,Web,Completed
O100125,2023-04-26,C2740,Mobile App,Completed
O100126,2024-12-01,C3354,Mobile App,Returned
O100127,2023-03-22,C1881,Web,Completed
O100128,2024-02-11,C1609,Mobile App,Completed
O100129,2023-12-15,C2175,Mobile App,Completed
O100130,2024-01-12,C4404,Mobile App,Completed
O100131,2024-12-19,C5587,Mobile App,Returned
O100132,2024-03-19,C5829,Web,Completed
O100133,2024-06-11,C4207,Web,Completed
O100134,2023-10-20,C1050,Marketplace,Completed
O100135,2024-07-15,C5332,Mobile App,Completed
O100136,2023-08-28,C5588,Marketplace,Completed
O100137,2024-03-02,C3717,Web,Completed
O100138,2023-08-09,C3767,Marketplace,Completed
O100139,2024-11-16,C5098,Mobile App,Completed
O100140,2024-03-02,C2753,Mobile App,Completed
O100141,2023-11-26,C2748,Web,Completed
O100142,2024-01-15,C4729,Marketplace,Completed
O100143,2024-07-23,C2222,Mobile App,Completed
O100144,2023-07-25,C5140,Marketplace,Completed
O100145,2024-06-01,C3743,Web,Completed
O100146,2024-04-18,C2527,Marketplace,Completed
O100147,2024-11-26,C5710,Web,Returned
O100148,2024-09-15,C1725,Web,Completed
O100149,2023-11-17,C5175,Retail Store,Completed
O100150,2024-02-23,C3657,Web,Completed
O100151,2024-05-19,C2215,Web,Completed
O100152,2023-01-07,C4080,Mobile App,Completed
O100153,2024-05-26,C5773,Marketplace,Completed
O100154,2024-01-19,C1865,Web,Completed
O100155,2023-12-24,C3624,Marketplace,Completed
O100156,2024-04-15,C4536,Retail Store,Completed
O100157,2024-02-20,C3104,Mobile App,Completed
O100158,2024-02-24,C2146,Retail Store,Completed
O100159,2024-01-12,C2440,Web,Completed
O100160,2024-02-07,C3081,Mobile App,Completed
O100161,2024-03-17,C4135,Marketplace,Completed
O100162,2023-12-25,C3989,Mobile App,Completed
O100163,2023-10-31,C3894,Marketplace,Completed
O100164,2024-06-05,C2817,Mobile App,Completed
O100165,2024-10-15,C5125,Web,Completed
O100166,2023-04-09,C3213,Marketplace,Completed
O100167,2024-05-02,C5573,Web,Completed
O100168,2023-05-21,C2589,Web,Completed
O100169,2024-12-30,C4732,Web,Cancelled
O100170,2023-11-08,C3779,Marketplace,Completed
O100171,2023-04-08,C1924,Mobile App,Cancelled
O100172,2023-09-15,C1444,Mobile App,Completed
O100173,2023-09-16,C1662,Web,Completed
O100174,2024-04-30,C3344,Marketplace,Completed
O100175,2023-01-02,C3680,Mobile App,Completed
O100176,2023-12-11,C4373,Web,Returned
O100177,2023-05-05,C1767,Web,Completed
O100178,2023-05-26,C1921,Web,Completed
O100179,2024-06-17,C4085,Mobile App,Completed
O100180,2023-12-24,C3884,Web,Completed
O100181,2024-11-23,C1808,Mobile App,Completed
O100182,2023-06-11,C3913,Marketplace,Completed
O100183,2024-11-26,C2161,Web,Completed
O100184,2024-03-06,C2537,Marketplace,Completed
O100185,2024-04-22,C1418,Web,Completed
O100186,2024-02-12,C1345,Web,Completed
O100187,2023-03-29,C5185,Web,Completed
O100188,2024-06-04,C5784,Mobile App,Completed
O100189,2023-11-21,C3947,Mobile App,Returned
O100190,2023-06-12,C1486,Web,Completed
O100191,2023-02-19,C2732,Marketplace,Completed
O100192,2024-03-09,C2764,Web,Completed
O100193,2024-05-23,C2983,Mobile App,Completed
O100194,2023-05-29,C1919,Marketplace,Completed
O100195,2023-11-01,C1673,Mobile App,Completed
O100196,2023-09-09,C5603,Marketplace,Completed
O100197,2024-10-12,C5239,Marketplace,Completed
O100198,2023-07-20,C1264,Web,Completed
O100199,2024-01-10,C2525,Web,Completed
O100200,2024-11-05,C1674,Mobile App,Completed
O100201,2023-09-10,C1356,Marketplace,Completed
O100202,2024-12-25,C4228,Retail Store,Completed
O100203,2023-08-13,C2795,Web,Completed
O100204,2023-02-12,C3743,Mobile App,Completed
O100205,2023-10-29,C2215,Marketplace,Completed
O100206,2023-01-26,C4603,Web,Completed
O100207,2024-08-24,C3037,Mobile App,Returned
O100208,2023-06-20,C1595,Mobile App,Returned
O100209,2024-01-17,C5301,Mobile App,Completed
O100210,2024-12-15,C2482,Web,Completed
O100211,2023-08-19,C4724,Web,Completed
O100212,2024-12-13,C4427,Mobile App,Completed
O100213,2024-12-03,C2218,Retail Store,Completed
O100214,2023-04-15,C2257,Web,Completed
O100215,2023-03-25,C2606,Mobile App,Completed
O100216,2023-03-29,C5463,Web,Completed
O100217,2023-03-31,C3165,Marketplace,Completed
O100218,2023-12-05,C4716,Marketplace,Completed
O100219,2024-04-12,C1807,Mobile App,Completed
O100220,2024-06-27,C1380,Mobile App,Completed
O100221,2023-01-12,C2425,Marketplace,Completed
O100222,2024-06-28,C1906,Mobile App,Completed
O100223,2023-08-08,C2542,Mobile App,Returned
O100224,2024-11-06,C2408,Mobile App,Completed
O100225,2024-02-24,C1944,Web,Completed
O100226,2024-11-12,C5809,Web,Completed
O100227,2023-05-25,C2367,Mobile App,Completed
O100228,2023-08-01,C1102,Marketplace,Completed
O100229,2024-05-20,C3123,Web,Completed
O100230,2024-08-11,C4839,Web,Completed
O100231,2024-05-19,C5238,Web,Completed
O100232,2023-09-02,C2857,Marketplace,Completed
O100233,2024-07-02,C4399,Web,Completed
O100234,2024-11-03,C1698,Web,Completed
O100235,2023-02-17,C1334,Marketplace,Completed
O100236,2024-01-27,C4731,Web,Completed
O100237,2023-12-03,C3541,Marketplace,Completed
O100238,2024-06-08,C1017,Web,Completed
O100239,2023-07-01,C2174,Marketplace,Completed
O100240,2024-05-24,C2956,Retail Store,Completed
O100241,2023-11-19,C1006,Web,Cancelled
O100242,2024-05-04,C2524,Web,Completed
O100243,2023-11-03,C3827,Web,Completed
O100244,2023-06-06,C1230,Web,Completed
O100245,2023-02-20,C1995,Marketplace,Completed
O100246,2023-11-08,C3820,Web,Completed
O100247,2023-04-24,C4234,Web,Completed
O100248,2024-10-31,C4330,Mobile App,Completed
O100249,2023-09-09,C2303,Marketplace,Completed
O100250,2023-07-05,C1671,Web,Completed
O100251,2023-05-20,C2210,Web,Completed
O100252,2023-12-18,C3780,Mobile App,Completed
O100253,2023-06-18,C3954,Web,Completed
O100254,2024-09-29,C5749,Mobile App,Completed
O100255,2024-04-24,C3953,Mobile App,Completed
O100256,2023-10-22,C4900,Mobile App,Completed
O100257,2024-01-10,C5243,Marketplace,Completed
O100258,2024-04-24,C3214,Web,Completed
O100259,2023-10-18,C1991,Web,Completed
O100260,2024-08-10,C2033,Web,Returned
O100261,2024-12-11,C5934,Retail Store,Completed
O100262,2023-03-23,C2372,Web,Completed
O100263,2023-03-12,C2846,Web,Completed
O100264,2024-11-13,C2835,Web,Returned
O100265,2023-10-25,C5849,Mobile App,Completed
O100266,2023-10-07,C1640,Web,Completed
O100267,2023-11-15,C1776,Mobile App,Completed
O100268,2024-11-10,C4205,Web,Returned
O100269,2024-11-13,C5763,Marketplace,Completed
O100270,2024-02-28,C4189,Retail Store,Completed
O100271,2023-03-14,C5820,Web,Completed
O100272,2023-06-27,C3540,Web,Completed
O100273,2024-10-30,C2452,Web,Completed
O100274,2024-12-26,C1887,Web,Completed
O100275,2024-11-20,C2015,Marketplace,Completed
O100276,2023-09-08,C5130,Retail Store,Completed
O100277,2024-06-19,C4014,Web,Completed
O100278,2024-08-13,C5285,Marketplace,Completed
O100279,2024-10-06,C1686,Marketplace,Completed
O100280,2024-10-02,C2073,Marketplace,Completed
O100281,2023-05-04,C2475,Web,Completed
O100282,2023-05-31,C4580,Marketplace,Completed
O100283,2024-04-02,C5914,Web,Completed
O100284,2024-09-17,C4320,Marketplace,Completed
O100285,2023-02-27,C4824,Web,Returned
O100286,2024-05-22,C5241,Marketplace,Completed
O100287,2024-09-13,C4980,Web,Completed
O100288,2024-12-18,C2480,Web,Completed
O100289,2023-09-08,C5367,Web,Completed
O100290,2023-10-24,C5623,Web,Completed
O100291,2023-04-28,C4446,Web,Completed
O100292,2023-09-06,C1780,Marketplace,Completed
O100293,2023-07-03,C4583,Web,Completed
O100294,2024-10-27,C3555,Web,Completed
O100295,2023-05-09,C4662,Mobile App,Completed
O100296,2024-02-28,C1225,Marketplace,Completed
O100297,2024-02-24,C2957,Mobile App,Completed
O100298,2023-04-19,C3649,Marketplace,Completed
O100299,2023-12-30,C1500,Marketplace,Completed
O100300,2024-11-08,C3523,Web,Completed
O100301,2023-03-07,C4050,Web,Completed
O100302,2024-08-05,C3930,Marketplace,Completed
O100303,2024-10-17,C4999,Mobile App,Completed
O100304,2023-08-06,C3131,Retail Store,Completed
O100305,2024-01-17,C2172,Retail Store,Completed
O100306,2023-10-06,C1726,Web,Completed
O100307,2024-03-24,C1911,Mobile App,Completed
O100308,2023-11-20,C2784,Marketplace,Completed
O100309,2024-08-19,C5785,Mobile App,Completed
O100310,2024-02-17,C4804,Web,Completed
O100311,2023-11-09,C1692,Mobile App,Completed
O100312,2024-06-09,C4070,Mobile App,Completed
O100313,2024-10-07,C3743,Mobile App,Completed
O100314,2023-12-01,C2104,Marketplace,Completed
O100315,2023-04-04,C4705,Web,Completed
O100316,2023-03-23,C1045,Web,Completed
O100317,2023-03-20,C1475,Web,Completed
O100318,2024-04-07,C4155,Mobile App,Completed
O100319,2023-10-18,C3802,Web,Completed
O100320,2023-04-09,C3975,Web,Completed
O100321,2024-02-11,C4400,Marketplace,Completed
O100322,2024-02-06,C5542,Web,Completed
O100323,2023-04-12,C1218,Web,Completed
O100324,2024-05-22,C4973,Marketplace,Completed
O100325,2023-12-09,C3099,Marketplace,Completed
O100326,2024-07-15,C2301,Mobile App,Completed
O100327,2023-02-08,C3371,Mobile App,Completed
O100328,2023-09-08,C3718,Mobile App,Completed
O100329,2023-01-12,C3779,Mobile App,Returned
O100330,2023-12-09,C2353,Mobile App,Cancelled
O100331,2024-04-02,C1198,Web,Returned
O100332,2024-07-13,C4334,Web,Returned
O100333,2024-01-17,C5467,Marketplace,Completed
O100334,2023-03-15,C5528,Mobile App,Completed
O100335,2023-10-13,C5302,Marketplace,Completed
O100336,2024-04-11,C2092,Mobile App,Completed
O100337,2024-01-07,C5266,Mobile App,Completed
O100338,2024-12-25,C4269,Retail Store,Completed
O100339,2024-03-11,C3598,Web,Completed
O100340,2023-09-03,C2478,Web,Completed
O100341,2023-12-24,C4940,Web,Completed
O100342,2024-06-02,C1609,Marketplace,Completed
O100343,2024-07-23,C5006,Web,Completed
O100344,2023-01-25,C5518,Marketplace,Completed
O100345,2023-06-27,C5815,Web,Completed
O100346,2024-07-03,C5420,Retail Store,Completed
O100347,2023-04-19,C5081,Web,Completed
O100348,2023-12-28,C4770,Web,Completed
O100349,2024-12-07,C1597,Marketplace,Completed
O100350,2023-01-02,C2665,Marketplace,Returned
O100351,2023-05-22,C1713,Mobile App,Completed
O100352,2023-07-16,C2831,Mobile App,Completed
O100353,2024-04-06,C3542,Web,Completed
O100354,2023-12-16,C5411,Retail Store,Completed
O100355,2023-07-10,C4547,Marketplace,Completed
O100356,2024-04-09,C5064,Marketplace,Completed
O100357,2024-11-11,C5176,Marketplace,Completed
O100358,2024-04-23,C5030,Mobile App,Completed
O100359,2024-01-23,C1059,Web,Completed
O100360,2024-03-17,C5737,Retail Store,Completed
O100361,2024-04-09,C3168,Web,Completed
O100362,2023-06-07,C2253,Retail Store,Completed
O100363,2023-08-04,C3117,Web,Completed
O100364,2024-11-08,C3762,Mobile App,Completed
O100365,2023-06-11,C4472,Mobile App,Completed
O100366,2024-11-03,C3088,Web,Completed
O100367,2024-01-25,C3771,Web,Completed
O100368,2024-11-23,C3060,Marketplace,Completed
O100369,2023-08-02,C5013,Web,Completed
O100370,2024-02-13,C1509,Mobile App,Returned
O100371,2023-02-27,C4500,Mobile App,Completed
O100372,2024-04-29,C3783,Web,Completed
O100373,2023-12-02,C3402,Web,Completed
O100374,2024-09-24,C2929,Web,Completed
O100375,2023-07-13,C2188,Web,Completed
O100376,2024-09-30,C2284,Web,Completed
O100377,2023-05-31,C4221,Web,Completed
O100378,2024-11-26,C1745,Marketplace,Completed
O100379,2024-07-16,C2134,Web,Completed
O100380,2024-09-09,C3168,Marketplace,Completed
O100381,2024-07-15,C4237,Web,Completed
O100382,2024-11-02,C3008,Marketplace,Completed
O100383,2023-09-08,C1756,Web,Completed
O100384,2023-05-21,C4987,Mobile App,Completed
O100385,2024-06-02,C2060,Mobile App,Completed
O100386,2023-07-22,C5711,Web,Completed
O100387,2024-04-21,C3148,Web,Completed
O100388,2023-02-17,C5038,Marketplace,Returned
O100389,2024-04-14,C3593,Web,Completed
O100390,2024-01-19,C2292,Web,Returned
O100391,2024-04-24,C5768,Mobile App,Completed
O100392,2024-12-26,C2559,Web,Completed
O100393,2023-11-17,C4037,Mobile App,Completed
O100394,2024-11-27,C4997,Mobile App,Completed
O100395,2023-04-27,C3123,Web,Completed
O100396,2023-09-20,C5015,Web,Completed
O100397,2024-06-26,C5140,Web,Completed
O100398,2024-01-11,C2321,Web,Completed
O100399,2023-04-09,C1696,Mobile App,Completed
O100400,2023-12-11,C1344,Mobile App,Completed
O100401,2024-06-23,C1073,Marketplace,Returned
O100402,2024-01-12,C3641,Web,Completed
O100403,2023-02-06,C2278,Mobile App,Completed
O100404,2023-07-29,C3075,Web,Completed
O100405,2023-04-25,C3664,Mobile App,Completed
O100406,2024-10-01,C2433,Web,Completed
O100407,2023-07-17,C4181,Web,Completed
O100408,2024-04-08,C2944,Mobile App,Completed
O100409,2023-11-19,C5007,Marketplace,Completed
O100410,2024-11-12,C1803,Mobile App,Completed
O100411,2024-04-14,C4016,Web,Cancelled
O100412,2023-07-30,C2564,Web,Completed
O100413,2024-06-29,C1580,Mobile App,Returned
O100414,2024-01-01,C1769,Mobile App,Completed
O100415,2023-06-21,C4957,Marketplace,Completed
O100416,2024-12-28,C5348,Retail Store,Completed
O100417,2024-11-15,C1062,Web,Completed
O100418,2024-02-18,C2148,Marketplace,Completed
O100419,2023-01-25,C4526,Mobile App,Completed
O100420,2023-10-28,C4799,Web,Completed
O100421,2024-01-11,C3606,Web,Completed
O100422,2024-11-09,C1161,Mobile App,Completed
O100423,2024-06-19,C3475,Mobile App,Completed
O100424,2024-01-08,C3153,Marketplace,Completed
O100425,2023-12-12,C4726,Web,Completed
O100426,2024-01-26,C5098,Mobile App,Completed
O100427,2024-01-08,C1220,Mobile App,Completed
O100428,2023-11-08,C5697,Marketplace,Completed
O100429,2023-11-16,C3053,Marketplace,Completed
O100430,2024-08-04,C4032,Mobile App,Completed
O100431,2023-01-31,C5707,Web,Completed
O100432,2024-06-24,C4006,Mobile App,Completed
O100433,2024-03-26,C1068,Mobile App,Completed
O100434,2024-05-22,C2140,Retail Store,Completed
O100435,2024-06-02,C5386,Mobile App,Completed
O100436,2023-05-07,C1637,Web,Completed
O100437,2024-12-10,C4242,Mobile App,Completed
O100438,2024-12-23,C3151,Web,Completed
O100439,2023-04-17,C5540,Mobile App,Completed
O100440,2023-06-09,C5840,Mobile App,Completed
O100441,2024-12-06,C1229,Retail Store,Completed
O100442,2024-11-11,C5758,Marketplace,Completed
O100443,2024-04-05,C5036,Web,Completed
O100444,2023-06-27,C5784,Web,Completed
O100445,2023-01-28,C3656,Retail Store,Completed
O100446,2023-02-26,C5821,Web,Completed
O100447,2024-09-10,C2242,Web,Completed
O100448,2023-05-15,C1513,Marketplace,Completed
O100449,2024-02-19,C3355,Web,Completed
O100450,2023-05-30,C2221,Web,Completed
O100451,2024-02-17,C5615,Mobile App,Completed
O100452,2024-10-16,C4027,Web,Completed
O100453,2024-08-31,C3196,Web,Completed
O100454,2023-06-26,C1225,Mobile App,Completed
O100455,2023-05-20,C1684,Retail Store,Completed
O100456,2023-04-28,C4180,Web,Completed
O100457,2024-03-24,C1327,Web,Completed
O100458,2024-04-25,C4569,Marketplace,Completed
O100459,2024-10-06,C1071,Web,Completed
O100460,2023-07-13,C2971,Retail Store,Completed
O100461,2024-06-15,C2056,Web,Completed
O100462,2023-11-09,C2321,Mobile App,Completed
O100463,2023-04-22,C3746,Web,Returned
O100464,2023-12-20,C2976,Web,Completed
O100465,2023-05-23,C2751,Mobile App,Cancelled
O100466,2023-01-18,C2062,Retail Store,Completed
O100467,2024-12-18,C5375,Web,Completed
O100468,2023-09-22,C2225,Marketplace,Completed
O100469,2023-10-10,C4930,Web,Completed
O100470,2024-08-06,C5804,Web,Completed
O100471,2023-05-30,C3323,Marketplace,Completed
O100472,2023-05-12,C2524,Mobile App,Completed
O100473,2024-01-30,C2151,Web,Completed
O100474,2024-04-19,C2265,Web,Completed
O100475,2023-08-17,C3073,Marketplace,Completed
O100476,2023-12-19,C4086,Web,Completed
O100477,2023-03-18,C4189,Mobile App,Returned
O100478,2023-11-29,C1971,Marketplace,Completed
O100479,2024-05-16,C1116,Mobile App,Completed
O100480,2023-12-04,C4984,Marketplace,Completed
O100481,2024-03-16,C5446,Web,Completed
O100482,2024-11-01,C1443,Web,Completed
O100483,2023-02-15,C4273,Web,Completed
O100484,2024-09-11,C3094,Web,Returned
O100485,2023-02-01,C5812,Marketplace,Completed
O100486,2023-08-24,C5058,Marketplace,Completed
O100487,2023-11-08,C4321,Web,Completed
O100488,2024-12-23,C2720,Web,Completed
O100489,2024-10-13,C2813,Web,Completed
O100490,2024-02-22,C3358,Web,Completed
O100491,2023-11-27,C3190,Web,Completed
O100492,2023-12-17,C1449,Marketplace,Completed
O100493,2024-08-26,C1034,Marketplace,Completed
O100494,2023-05-21,C4412,Web,Completed
O100495,2023-07-22,C1286,Marketplace,Completed
O100496,2023-01-13,C3326,Marketplace,Completed
O100497,2023-03-28,C1514,Web,Completed
O100498,2024-04-01,C3313,Mobile App,Completed
O100499,2023-11-22,C2967,Mobile App,Completed
O100500,2023-07-17,C1402,Web,Completed
O100501,2023-03-16,C2434,Web,Completed
O100502,2023-04-13,C1341,Mobile App,Completed
O100503,2023-09-13,C3003,Web,Completed
O100504,2023-01-20,C1431,Marketplace,Completed
O100505,2023-06-26,C3030,Mobile App,Completed
O100506,2023-01-10,C1416,Mobile App,Completed
O100507,2024-06-13,C2754,Mobile App,Completed
O100508,2023-12-24,C2647,Mobile App,Completed
O100509,2024-07-27,C3568,Marketplace,Cancelled
O100510,2024-02-17,C3119,Mobile App,Completed
O100511,2024-11-27,C5677,Web,Completed
O100512,2023-04-18,C5484,Mobile App,Completed
O100513,2023-03-27,C3614,Web,Completed
O100514,2023-07-16,C1192,Marketplace,Completed
O100515,2024-07-12,C5101,Web,Returned
O100516,2023-07-14,C4372,Web,Completed
O100517,2023-08-17,C4897,Web,Completed
O100518,2023-01-17,C5500,Web,Completed
O100519,2024-01-06,C3087,Mobile App,Completed
O100520,2024-12-18,C3423,Web,Completed
O100521,2024-10-20,C2198,Retail Store,Completed
O100522,2024-11-07,C1359,Mobile App,Cancelled
O100523,2023-05-31,C1158,Marketplace,Completed
O100524,2024-11-12,C4567,Web,Completed
O100525,2024-01-03,C1278,Web,Completed
O100526,2024-09-03,C5393,Web,Completed
O100527,2024-01-02,C2095,Mobile App,Completed
O100528,2024-04-07,C3575,Mobile App,Completed
O100529,2024-12-05,C5385,Web,Completed
O100530,2024-02-11,C1972,Mobile App,Completed
O100531,2023-03-30,C1527,Mobile App,Completed
O100532,2024-11-05,C2932,Web,Completed
O100533,2024-01-10,C5127,Marketplace,Returned
O100534,2023-05-11,C2334,Web,Completed
O100535,2023-05-19,C3286,Mobile App,Completed
O100536,2024-11-23,C4242,Marketplace,Completed
O100537,2023-11-19,C4227,Mobile App,Completed
O100538,2024-10-10,C5176,Mobile App,Completed
O100539,2023-02-14,C1719,Web,Completed
O100540,2024-12-09,C5858,Web,Completed
O100541,2024-03-21,C4970,Mobile App,Completed
O100542,2024-02-07,C5884,Web,Completed
O100543,2023-10-18,C1448,Web,Returned
O100544,2023-12-12,C4850,Web,Completed
O100545,2024-05-10,C3615,Web,Completed
O100546,2023-04-22,C4963,Mobile App,Returned
O100547,2024-12-25,C1515,Web,Completed
O100548,2023-03-12,C3452,Web,Cancelled
O100549,2023-09-11,C5275,Marketplace,Completed
O100550,2023-11-15,C5079,Mobile App,Completed
O100551,2023-09-12,C3942,Web,Completed
O100552,2023-07-08,C4318,Mobile App,Completed
O100553,2024-05-09,C3728,Marketplace,Completed
O100554,2023-02-13,C5285,Web,Completed
O100555,2023-11-22,C2363,Marketplace,Completed
O100556,2023-06-10,C5740,Mobile App,Completed
O100557,2024-03-19,C3555,Web,Completed
O100558,2023-02-27,C5945,Mobile App,Completed
O100559,2023-07-17,C1103,Mobile App,Cancelled
O100560,2024-01-11,C3665,Marketplace,Completed
O100561,2024-02-22,C3404,Marketplace,Completed
O100562,2023-12-13,C3434,Mobile App,Completed
O100563,2023-11-24,C2071,Mobile App,Completed
O100564,2023-07-14,C2852,Web,Completed
O100565,2024-07-17,C5460,Mobile App,Completed
O100566,2023-06-07,C1629,Marketplace,Completed
O100567,2023-11-17,C2361,Retail Store,Completed
O100568,2024-09-07,C4090,Web,Completed
O100569,2024-12-02,C3556,Mobile App,Completed
O100570,2023-10-16,C5978,Retail Store,Completed
O100571,2023-04-05,C1015,Mobile App,Cancelled
O100572,2024-02-03,C2333,Web,Completed
O100573,2024-08-21,C4714,Web,Completed
O100574,2024-08-18,C1779,Retail Store,Completed
O100575,2023-03-29,C1803,Mobile App,Completed
O100576,2023-07-13,C2291,Marketplace,Completed
O100577,2023-10-02,C5993,Web,Completed
O100578,2023-10-24,C3425,Mobile App,Completed
O100579,2024-12-07,C2464,Marketplace,Completed
O100580,2024-06-29,C5203,Mobile App,Completed
O100581,2024-09-09,C4327,Web,Completed
O100582,2023-04-02,C2364,Web,Completed
O100583,2024-10-24,C5799,Web,Completed
O100584,2023-06-22,C5953,Web,Completed
O100585,2024-07-14,C4781,Web,Completed
O100586,2023-12-23,C2932,Mobile App,Completed
O100587,2024-04-24,C2748,Marketplace,Completed
