shipment_id,order_id,order_date,ship_date,delivery_date,warehouse_id,warehouse_city,region,carrier,product_line,processing_days,transit_days,total_days,shipping_cost,status
S220573,O520573,2024-01-01,2024-01-02 04:33:36.000000000,2024-01-05 04:30:07.442781396,WH-LAX,Los Angeles,North America,USPS,Home,1.19,3.0,4.19,13.37,On-time
S228508,O528508,2024-01-01,2024-01-04 12:12:08.285467559,2024-01-06 11:38:10.398279621,WH-AMS,Amsterdam,Europe,FedEx,Beauty,3.51,1.98,5.48,10.48,On-time
S216562,O516562,2024-01-01,2024-01-03 09:50:24.000000000,2024-01-05 15:14:43.313643775,WH-LON,London,Europe,FedEx,Electronics,2.41,2.23,4.64,11.91,On-time
S205853,O505853,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-05 15:18:41.078043777,WH-LAX,Los Angeles,North America,Local,Apparel,1.0,3.64,4.64,7.07,On-time
S221283,O521283,2024-01-01,2024-01-02 04:19:12.000000000,2024-01-04 10:49:58.547429869,WH-LAX,Los Angeles,North America,FedEx,Apparel,1.18,2.27,3.45,9.48,On-time
S200630,O500630,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-05 21:57:37.353703726,WH-AMS,Amsterdam,Europe,FedEx,Home,2.0,2.92,4.92,10.98,On-time
S224997,O524997,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 16:33:12.127614033,WH-LAX,Los Angeles,North America,FedEx,Home,1.0,2.69,3.69,11.55,On-time
S218059,O518059,2024-01-01,2024-01-03 07:40:48.000000000,2024-01-06 03:11:43.467271886,WH-SIN,Singapore,APAC,UPS,Electronics,2.32,2.81,5.13,17.58,On-time
S209006,O509006,2024-01-01,2024-01-03 02:24:00.000000000,2024-01-08 14:01:14.288142348,WH-SIN,Singapore,APAC,Local,Sports,2.1,5.48,7.58,13.96,Late
S225867,O525867,2024-01-01,2024-01-02 05:16:48.000000000,2024-01-04 13:01:02.310451273,WH-NYC,New York,North America,DHL,Electronics,1.22,2.32,3.54,11.36,On-time
S211823,O511823,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-05 18:35:09.292216125,WH-AMS,Amsterdam,Europe,FedEx,Electronics,2.0,2.77,4.77,11.89,On-time
S208269,O508269,2024-01-01,2024-01-02 05:02:24.000000000,2024-01-05 07:45:23.161139648,WH-LAX,Los Angeles,North America,FedEx,Apparel,1.21,3.11,4.32,13.3,On-time
S201627,O501627,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 14:36:59.624207850,WH-NYC,New York,North America,FedEx,Sports,1.0,2.61,3.61,13.87,On-time
S211775,O511775,2024-01-01,2024-01-02 04:04:48.000000000,2024-01-04 07:00:39.721589596,WH-LAX,Los Angeles,North America,FedEx,Apparel,1.17,2.12,3.29,12.18,On-time
S203651,O503651,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-08 03:03:06.052753448,WH-SIN,Singapore,APAC,USPS,Electronics,2.0,5.13,7.13,15.94,Late
S210377,O510377,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-03 18:00:04.716593305,WH-LAX,Los Angeles,North America,DHL,Electronics,1.0,1.75,2.75,11.24,On-time
S200172,O500172,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-05 01:26:57.906236160,WH-AMS,Amsterdam,Europe,FedEx,Electronics,2.0,2.06,4.06,10.85,On-time
S225465,O525465,2024-01-01,2024-01-02 00:28:48.000000000,2024-01-03 07:45:50.060901358,WH-NYC,New York,North America,FedEx,Sports,1.02,1.3,2.32,12.06,On-time
S227955,O527955,2024-01-01,2024-01-03 00:28:48.000000000,2024-01-07 20:11:59.078257992,WH-SIN,Singapore,APAC,DHL,Home,2.02,4.82,6.84,18.25,On-time
S203548,O503548,2024-01-01,2024-01-03 00:28:48.000000000,2024-01-05 16:21:04.228285674,WH-AMS,Amsterdam,Europe,DHL,Sports,2.02,2.66,4.68,11.15,On-time
S226408,O526408,2024-01-01,2024-01-03 05:16:48.000000000,2024-01-04 10:33:04.369882950,WH-LON,London,Europe,DHL,Sports,2.22,1.22,3.44,14.89,On-time
S223878,O523878,2024-01-01,2024-01-03 00:57:36.000000000,2024-01-07 20:38:08.877887839,WH-SIN,Singapore,APAC,Local,Home,2.04,4.82,6.86,11.87,On-time
S207748,O507748,2024-01-01,2024-01-03 09:21:36.000000000,2024-01-07 00:19:08.827114687,WH-SIN,Singapore,APAC,FedEx,Apparel,2.39,3.62,6.01,14.79,On-time
S206506,O506506,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 16:24:22.059038756,WH-SIN,Singapore,APAC,UPS,Home,2.0,3.68,5.68,18.13,On-time
S202889,O502889,2024-01-01,2024-01-03 04:04:48.000000000,2024-01-04 19:22:04.886790337,WH-LON,London,Europe,DHL,Sports,2.17,1.64,3.81,12.08,On-time
S208163,O508163,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-05 01:54:47.438045049,WH-LAX,Los Angeles,North America,Local,Sports,1.0,3.08,4.08,4.9,On-time
S202274,O502274,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 20:22:29.772227444,WH-LON,London,Europe,Local,Apparel,2.0,3.85,5.85,7.01,On-time
S210077,O510077,2024-01-01,2024-01-02 20:52:48.000000000,2024-01-06 04:02:59.216377868,WH-NYC,New York,North America,USPS,Home,1.87,3.3,5.17,11.03,On-time
S214746,O514746,2024-01-01,2024-01-03 02:24:00.000000000,2024-01-05 07:00:43.703042783,WH-LON,London,Europe,USPS,Sports,2.1,2.19,4.29,16.19,On-time
S213556,O513556,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 01:45:43.189875599,WH-NYC,New York,North America,FedEx,Beauty,1.0,2.07,3.07,11.15,On-time
S200015,O500015,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 05:25:53.807318950,WH-LAX,Los Angeles,North America,DHL,Apparel,1.0,2.23,3.23,11.25,On-time
S203194,O503194,2024-01-01,2024-01-03 01:40:48.000000000,2024-01-06 13:37:19.582455385,WH-LON,London,Europe,USPS,Electronics,2.07,3.5,5.57,10.68,On-time
S226250,O526250,2024-01-01,2024-01-03 07:12:00.000000000,2024-01-05 16:59:15.338377875,WH-AMS,Amsterdam,Europe,FedEx,Apparel,2.3,2.41,4.71,13.71,On-time
S212183,O512183,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 07:38:45.269696918,WH-AMS,Amsterdam,Europe,DHL,Apparel,2.0,3.32,5.32,13.68,On-time
S219945,O519945,2024-01-01,2024-01-05 01:46:36.717561462,2024-01-08 04:30:46.348529511,WH-LAX,Los Angeles,North America,UPS,Apparel,4.07,3.11,7.19,10.81,Late
S213432,O513432,2024-01-01,2024-01-03 10:48:00.000000000,2024-01-08 01:55:23.399834868,WH-SIN,Singapore,APAC,USPS,Electronics,2.45,4.63,7.08,19.97,Late
S218691,O518691,2024-01-01,2024-01-03 00:43:12.000000000,2024-01-06 08:51:05.073228063,WH-LON,London,Europe,UPS,Beauty,2.03,3.34,5.37,10.47,On-time
S221511,O521511,2024-01-01,2024-01-03 02:09:36.000000000,2024-01-06 23:26:27.490107707,WH-SIN,Singapore,APAC,FedEx,Home,2.09,3.89,5.98,18.38,On-time
S227124,O527124,2024-01-01,2024-01-04 15:25:10.091522876,2024-01-06 18:42:12.248764153,WH-LON,London,Europe,UPS,Electronics,3.64,2.14,5.78,10.54,On-time
S206120,O506120,2024-01-01,2024-01-02 12:14:24.000000000,2024-01-04 09:47:16.110987299,WH-NYC,New York,North America,USPS,Sports,1.51,1.9,3.41,11.08,On-time
S216733,O516733,2024-01-01,2024-01-02 05:45:36.000000000,2024-01-05 22:35:32.068263189,WH-NYC,New York,North America,UPS,Apparel,1.24,3.7,4.94,13.44,On-time
S201788,O501788,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 22:52:17.490413784,WH-LAX,Los Angeles,North America,FedEx,Home,1.0,2.95,3.95,11.32,On-time
S212652,O512652,2024-01-01,2024-01-02 00:00:00.000000000,,WH-NYC,New York,North America,FedEx,Beauty,1.0,2.13,3.13,13.1,Failed
S214621,O514621,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 18:19:32.597279958,WH-NYC,New York,North America,FedEx,Sports,1.0,2.76,3.76,10.82,On-time
S207232,O507232,2024-01-01,2024-01-04 16:10:34.707273274,2024-01-06 23:01:07.369710740,WH-LON,London,Europe,DHL,Electronics,3.67,2.29,5.96,11.98,On-time
S224047,O524047,2024-01-01,2024-01-03 19:12:00.000000000,2024-01-08 00:25:37.558327319,WH-SIN,Singapore,APAC,FedEx,Apparel,2.8,4.22,7.02,15.96,Late
S200250,O500250,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 09:07:58.437470510,WH-SIN,Singapore,APAC,FedEx,Apparel,2.0,3.38,5.38,17.88,On-time
S215306,O515306,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-05 18:21:36.083389098,WH-NYC,New York,North America,USPS,Sports,1.0,3.77,4.77,9.67,On-time
S227375,O527375,2024-01-01,2024-01-03 04:48:00.000000000,2024-01-05 11:33:42.206207276,WH-LON,London,Europe,UPS,Sports,2.2,2.28,4.48,10.52,On-time
S216956,O516956,2024-01-01,2024-01-04 06:43:12.000000000,,WH-SAO,Sao Paulo,LATAM,USPS,Apparel,3.28,4.69,7.97,20.32,Failed
S212314,O512314,2024-01-01,2024-01-04 00:00:00.000000000,2024-01-08 15:22:08.406795567,WH-SAO,Sao Paulo,LATAM,UPS,Electronics,3.0,4.64,7.64,19.71,Late
S224579,O524579,2024-01-01,2024-01-03 01:55:12.000000000,2024-01-06 06:08:43.831471104,WH-LON,London,Europe,USPS,Beauty,2.08,3.18,5.26,12.41,On-time
S207174,O507174,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-05 13:04:41.695097142,WH-NYC,New York,North America,UPS,Electronics,1.0,3.54,4.54,12.62,On-time
S227435,O527435,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-05 22:57:11.834021030,WH-AMS,Amsterdam,Europe,DHL,Beauty,2.0,1.96,3.96,12.22,On-time
S201239,O501239,2024-01-02,2024-01-03 06:00:00.000000000,2024-01-05 11:35:04.350658332,WH-LAX,Los Angeles,North America,UPS,Apparel,1.25,2.23,3.48,15.5,On-time
S216923,O516923,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 21:23:29.138812627,WH-LAX,Los Angeles,North America,UPS,Home,1.0,2.89,3.89,11.35,On-time
S208320,O508320,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 08:51:43.997041468,WH-SIN,Singapore,APAC,DHL,Home,2.0,3.37,5.37,15.37,On-time
S217244,O517244,2024-01-02,2024-01-03 12:43:12.000000000,2024-01-05 21:52:39.051750334,WH-NYC,New York,North America,FedEx,Apparel,1.53,2.38,3.91,9.03,On-time
S206455,O506455,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 21:44:36.447004835,WH-NYC,New York,North America,Local,Apparel,1.0,2.91,3.91,8.06,On-time
S204433,O504433,2024-01-02,2024-01-05 00:00:00.000000000,2024-01-11 08:11:33.448657724,WH-SAO,Sao Paulo,LATAM,Local,Sports,3.0,6.34,9.34,13.64,Late
S206735,O506735,2024-01-02,2024-01-04 13:40:47.999999999,2024-01-06 19:00:04.510612951,WH-LON,London,Europe,FedEx,Electronics,2.57,2.22,4.79,13.4,On-time
S226412,O526412,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 14:37:34.146609283,WH-LAX,Los Angeles,North America,DHL,Apparel,1.0,2.61,3.61,13.4,On-time
S215448,O515448,2024-01-02,2024-01-04 00:14:24.000000000,2024-01-06 10:41:04.707047428,WH-SIN,Singapore,APAC,DHL,Sports,2.01,2.44,4.45,19.8,On-time
S209381,O509381,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-06 07:48:46.220748439,WH-LON,London,Europe,FedEx,Sports,2.0,2.33,4.33,15.41,On-time
S204697,O504697,2024-01-02,2024-01-07 12:36:40.008008592,2024-01-12 02:40:58.012133980,WH-SAO,Sao Paulo,LATAM,Local,Beauty,5.53,4.59,10.11,14.04,Late
S224988,O524988,2024-01-02,2024-01-04 02:38:24.000000000,2024-01-06 12:54:14.168227950,WH-AMS,Amsterdam,Europe,DHL,Beauty,2.11,2.43,4.54,10.09,On-time
S226510,O526510,2024-01-02,2024-01-04 02:09:36.000000000,2024-01-07 05:35:22.881542861,WH-AMS,Amsterdam,Europe,Local,Beauty,2.09,3.14,5.23,8.89,On-time
S201908,O501908,2024-01-02,2024-01-04 12:19:48.605659507,2024-01-05 23:46:53.296038194,WH-LAX,Los Angeles,North America,DHL,Home,2.51,1.48,3.99,8.77,On-time
S215706,O515706,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-04 14:46:29.056196017,WH-LAX,Los Angeles,North America,DHL,Electronics,1.0,1.62,2.62,13.04,On-time
S221814,O521814,2024-01-02,2024-01-07 05:12:48.320537492,2024-01-12 09:19:35.459494109,WH-SIN,Singapore,APAC,Local,Home,5.22,5.17,10.39,15.44,Late
S202582,O502582,2024-01-02,2024-01-03 01:12:00.000000000,2024-01-05 11:09:36.808215269,WH-NYC,New York,North America,DHL,Apparel,1.05,2.42,3.47,10.74,On-time
S213389,O513389,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 11:58:05.201310610,WH-SIN,Singapore,APAC,UPS,Sports,2.0,3.5,5.5,18.46,On-time
S223041,O523041,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-08 23:57:29.013501337,WH-SIN,Singapore,APAC,FedEx,Home,2.0,5.0,7.0,18.82,On-time
S226063,O526063,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 17:43:24.310521088,WH-LAX,Los Angeles,North America,UPS,Home,1.0,2.74,3.74,13.45,On-time
S207832,O507832,2024-01-02,2024-01-05 01:26:24.000000000,2024-01-08 08:01:51.535647621,WH-SAO,Sao Paulo,LATAM,FedEx,Beauty,3.06,3.27,6.33,18.35,On-time
S217078,O517078,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-06 00:32:53.151534553,WH-LAX,Los Angeles,North America,Local,Home,1.0,3.02,4.02,4.95,On-time
S217061,O517061,2024-01-02,2024-01-04 10:04:48.000000000,,WH-SIN,Singapore,APAC,USPS,Electronics,2.42,5.21,7.63,19.33,Failed
S211972,O511972,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-06 13:21:05.839365418,WH-LON,London,Europe,DHL,Sports,2.0,2.56,4.56,11.75,On-time
S224419,O524419,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-06 23:35:33.776027810,WH-LON,London,Europe,USPS,Electronics,2.0,2.98,4.98,14.84,On-time
S200647,O500647,2024-01-02,2024-01-05 00:00:00.000000000,2024-01-08 09:43:32.997504616,WH-SAO,Sao Paulo,LATAM,FedEx,Beauty,3.0,3.41,6.41,17.55,On-time
S200323,O500323,2024-01-02,2024-01-04 12:43:12.000000000,2024-01-09 05:08:15.211121812,WH-SIN,Singapore,APAC,USPS,Electronics,2.53,4.68,7.21,18.44,Late
S215814,O515814,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 00:59:00.652503684,WH-AMS,Amsterdam,Europe,UPS,Sports,2.0,3.04,5.04,9.13,On-time
S217204,O517204,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 13:59:28.786895623,WH-LAX,Los Angeles,North America,USPS,Apparel,1.0,2.58,3.58,11.0,On-time
S202750,O502750,2024-01-02,2024-01-04 12:14:24.000000000,2024-01-06 23:06:12.485562125,WH-AMS,Amsterdam,Europe,Local,Beauty,2.51,2.45,4.96,8.64,On-time
S228991,O528991,2024-01-02,2024-01-03 00:14:24.000000000,2024-01-04 12:25:18.132692010,WH-NYC,New York,North America,DHL,Beauty,1.01,1.51,2.52,11.13,On-time
S213884,O513884,2024-01-02,2024-01-05 00:00:00.000000000,,WH-SAO,Sao Paulo,LATAM,DHL,Electronics,3.0,3.75,6.75,19.81,Failed
S205230,O505230,2024-01-02,2024-01-05 00:00:00.000000000,2024-01-08 19:08:10.968753721,WH-SAO,Sao Paulo,LATAM,UPS,Sports,3.0,3.8,6.8,17.87,On-time
S211313,O511313,2024-01-02,2024-01-05 03:36:00.000000000,2024-01-07 23:32:47.145871916,WH-SAO,Sao Paulo,LATAM,DHL,Home,3.15,2.83,5.98,19.69,On-time
S210140,O510140,2024-01-02,2024-01-05 06:14:24.000000000,2024-01-08 00:18:39.580631544,WH-SAO,Sao Paulo,LATAM,FedEx,Sports,3.26,2.75,6.01,17.24,On-time
S200446,O500446,2024-01-02,2024-01-04 19:12:00.000000000,2024-01-06 14:11:19.437463942,WH-AMS,Amsterdam,Europe,DHL,Apparel,2.8,1.79,4.59,10.17,On-time
S208862,O508862,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 13:48:47.005690642,WH-LAX,Los Angeles,North America,USPS,Beauty,1.0,2.58,3.58,13.72,On-time
S210193,O510193,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-06 06:31:19.443792970,WH-AMS,Amsterdam,Europe,FedEx,Home,2.0,2.27,4.27,11.73,On-time
S217528,O517528,2024-01-02,2024-01-05 03:21:36.000000000,2024-01-09 19:47:55.601479213,WH-SAO,Sao Paulo,LATAM,UPS,Electronics,3.14,4.68,7.82,14.91,Late
S220483,O520483,2024-01-02,2024-01-03 00:28:48.000000000,2024-01-05 01:15:07.083595071,WH-LAX,Los Angeles,North America,UPS,Sports,1.02,2.03,3.05,13.52,On-time
S219544,O519544,2024-01-02,2024-01-04 02:52:48.000000000,2024-01-06 14:29:55.844011947,WH-LON,London,Europe,UPS,Sports,2.12,2.48,4.6,11.45,On-time
S207039,O507039,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 07:08:54.650993317,WH-AMS,Amsterdam,Europe,USPS,Sports,2.0,3.3,5.3,11.61,On-time
S219359,O519359,2024-01-02,2024-01-03 18:14:24.000000000,2024-01-06 19:07:30.882905754,WH-NYC,New York,North America,DHL,Home,1.76,3.04,4.8,12.06,On-time
S201307,O501307,2024-01-02,2024-01-03 01:40:48.000000000,2024-01-06 06:21:05.162138447,WH-NYC,New York,North America,Local,Beauty,1.07,3.19,4.26,10.75,On-time
S205030,O505030,2024-01-02,2024-01-05 18:33:23.737313116,2024-01-12 01:57:22.407942400,WH-SIN,Singapore,APAC,Local,Beauty,3.77,6.31,10.08,13.43,Late
S200548,O500548,2024-01-02,2024-01-03 00:57:36.000000000,2024-01-04 18:03:49.455128203,WH-NYC,New York,North America,UPS,Apparel,1.04,1.71,2.75,11.17,On-time
S216068,O516068,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-06 01:37:28.097578027,WH-LON,London,Europe,DHL,Apparel,2.0,2.07,4.07,11.83,On-time
S220264,O520264,2024-01-02,2024-01-04 14:09:36.000000000,2024-01-07 03:13:07.234802212,WH-LON,London,Europe,FedEx,Home,2.59,2.54,5.13,10.18,On-time
S217448,O517448,2024-01-02,2024-01-05 04:19:12.000000000,2024-01-08 15:25:47.445779962,WH-SAO,Sao Paulo,LATAM,DHL,Sports,3.18,3.46,6.64,20.6,On-time
S212876,O512876,2024-01-02,2024-01-05 02:52:48.000000000,2024-01-10 06:00:46.158626744,WH-SAO,Sao Paulo,LATAM,USPS,Beauty,3.12,5.13,8.25,19.21,Late
S214881,O514881,2024-01-02,2024-01-03 10:33:36.000000000,2024-01-05 15:00:28.762809972,WH-NYC,New York,North America,DHL,Home,1.44,2.19,3.63,12.94,On-time
S223873,O523873,2024-01-02,2024-01-04 07:12:00.000000000,2024-01-06 09:08:15.336224972,WH-LON,London,Europe,DHL,Sports,2.3,2.08,4.38,13.06,On-time
S205345,O505345,2024-01-02,2024-01-04 06:28:48.000000000,2024-01-08 17:45:06.319654954,WH-SIN,Singapore,APAC,UPS,Sports,2.27,4.47,6.74,18.29,On-time
S202000,O502000,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 21:57:54.104602204,WH-SIN,Singapore,APAC,DHL,Electronics,2.0,3.92,5.92,17.79,On-time
S217714,O517714,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 16:48:43.821058674,WH-NYC,New York,North America,FedEx,Sports,1.0,2.7,3.7,9.13,On-time
S205192,O505192,2024-01-02,2024-01-03 00:00:00.000000000,2024-01-05 10:39:08.175155852,WH-NYC,New York,North America,DHL,Electronics,1.0,2.44,3.44,11.32,On-time
S210048,O510048,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-09 12:29:51.746371431,WH-SIN,Singapore,APAC,Local,Electronics,2.0,5.52,7.52,12.29,Late
S225563,O525563,2024-01-02,2024-01-04 10:19:12.000000000,2024-01-07 17:55:39.234864388,WH-SIN,Singapore,APAC,DHL,Beauty,2.43,3.32,5.75,19.57,On-time
S214552,O514552,2024-01-02,2024-01-04 00:00:00.000000000,2024-01-07 04:45:35.204258986,WH-AMS,Amsterdam,Europe,FedEx,Beauty,2.0,3.2,5.2,14.15,On-time
